[41, 42]
[39, 40]
[37, 38]
[36, 36]
[35, 35]
[34, 34]
[33, 33]
[32, 32]
[30, 30]
[30, 29]
[32, 31]
[35, 33]
[39, 36]
[40, 41]
[39, 40]
[38, 38]
[37, 36]
[34, 34]
[34, 35]
[33, 34]
[32, 33]
[29, 30]
[27, 28]
[26, 27]
[23, 25]
[22, 22]
[21, 23]
[25, 23]
[26, 23]
[27, 22]
[23, 21]
[22, 20]
[23, 19]
[23, 20]
[21, 17]
[14, 16]
[12, 15]
[10, 14]
[8, 13]
[8, 12]
[6, 14]
[4, 13]
[4, 12]
[4, 15]
[4, 16]
[4, 16]
[2, 15]
[1, 16]
[23, 17]
[21, 17]
[21, 16]
[21, 15]
[20, 14]
[18, 4]
[17, 2]
[15, 2]
[13, 1]
[13, 21]
[16, 19]
[18, 19]
[20, 19]
[21, 19]
[20, 19]
[18, 20]
[17, 21]
[18, 22]
[16, 22]
[17, 22]
[18, 23]
[18, 25]
[17, 25]
[18, 25]
[17, 26]
[21, 26]
[20, 19]
[19, 18]
[19, 17]
[18, 14]
[17, 13]
[16, 12]
[15, 12]
[12, 12]
[12, 14]
[10, 14]
[9, 16]
[9, 16]
[4, 18]
[2, 18]
[1, 18]
[22, 16]
[20, 15]
[18, 18]
[17, 18]
[15, 18]
[14, 18]
[13, 20]
[12, 20]
[14, 20]
[15, 19]
[17, 17]
[20, 18]
[19, 17]
[19, 17]
[18, 16]
[19, 16]
[19, 16]
[20, 16]
[21, 16]
[22, 15]
[23, 16]
[22, 16]
[20, 15]
[20, 17]
[20, 18]
[20, 19]
[18, 19]
[16, 18]
[14, 19]
[15, 20]
[16, 21]
[15, 22]
[14, 22]
[14, 20]
[14, 18]
[13, 18]
[14, 18]
[14, 18]
[6, 18]
[5, 16]
[5, 14]
[5, 12]
[5, 14]
[5, 16]
[3, 18]
[1, 18]
[22, 18]
[22, 20]
[22, 20]
[22, 19]
[21, 18]
[20, 18]
[22, 20]
[22, 20]
[21, 22]
[20, 21]
[20, 21]
[19, 18]
[19, 16]
[18, 14]
[21, 12]
[20, 12]
[18, 12]
[17, 12]
[15, 12]
[16, 14]
[18, 16]
[21, 15]
[18, 18]
[17, 16]
[17, 14]
[17, 14]
[17, 14]
[16, 14]
[15, 14]
[16, 16]
[14, 18]
[15, 20]
[12, 20]
[13, 18]
[12, 17]
[11, 18]
[5, 16]
[5, 14]
[3, 14]
[1, 14]
[22, 14]
[22, 12]
[22, 10]
[23, 10]
[23, 9]
[24, 10]
[24, 10]
[25, 10]
[25, 10]
[24, 8]
[22, 7]
[22, 8]
[20, 7]
[20, 8]
[20, 9]
[17, 8]
[18, 9]
[17, 8]
[16, 9]
[17, 8]
[12, 7]
[13, 8]
[15, 8]
[16, 9]
[18, 13]
[17, 12]
[19, 11]
[20, 12]
[20, 11]
[21, 12]
[20, 13]
[19, 11]
[16, 10]
[14, 9]
[10, 9]
[9, 8]
[5, 7]
[3, 6]
[1, 9]
[21, 8]
[21, 8]
[21, 8]
[21, 8]
[22, 8]
[22, 9]
[22, 11]
[22, 11]
[22, 12]
[23, 13]
[21, 12]
[19, 10]
[19, 10]
[19, 10]
[19, 13]
[18, 10]
[19, 9]
[18, 6]
[16, 9]
[14, 8]
[16, 9]
[18, 10]
[18, 14]
[20, 16]
[21, 18]
[23, 19]
[21, 20]
[20, 20]
[20, 22]
[19, 20]
[20, 21]
[21, 22]
[19, 21]
[17, 21]
[15, 20]
[13, 22]
[13, 20]
[4, 21]
[2, 20]
[1, 19]
[21, 17]
[21, 18]
[21, 16]
[20, 15]
[18, 15]
[20, 16]
[21, 17]
[23, 18]
[25, 17]
[26, 15]
[28, 14]
[29, 13]
[28, 12]
[27, 13]
[24, 12]
[25, 13]
[21, 14]
[22, 13]
[21, 16]
[20, 15]
[16, 17]
[15, 19]
[17, 20]
[17, 21]
[19, 22]
[20, 22]
[20, 21]
[21, 23]
[17, 22]
[16, 22]
[18, 22]
[16, 21]
[13, 20]
[11, 19]
[9, 17]
[10, 18]
[9, 17]
[4, 16]
[2, 13]
[1, 14]
[21, 11]
[21, 12]
[21, 11]
[21, 12]
[22, 12]
[22, 14]

